name,lat,lon,category
Aldi,-33.7174132,150.8914674,supermarket
Aldi,-33.7138357,150.9729918,supermarket
Aldi,-33.7049693,151.10056,supermarket
Aldi,-33.6987885,150.9581045,supermarket
Aldi,-33.6952596,151.296484,supermarket
Aldi,-33.6929978,151.0186481,supermarket
Aldi,-33.6851459,150.9183556,supermarket
Aldi,-33.6775598,151.3022081,supermarket
Aldi,-33.6589109,150.8804691,supermarket
Aldi,-33.656192,151.1338842,supermarket
Aldi,-33.5987603,150.7544025,supermarket
Aldi,-33.5804968,150.7197634,supermarket
Aldi,-33.4390309,151.3944323,supermarket
Aldi,-33.4073499,151.3513627,supermarket
Aldi Auburn,-33.8499105,151.0316494,supermarket
Aleta End,-33.7419561,151.098664,park
Alex Grimson Reserve,-33.9292344,150.8489197,park
Alexander Egoroff Reserve,-33.7357939,150.8460424,park
Alexander Primary School,-33.6765282,151.1871284,school
Alexandria Park,-33.9000484,151.1978152,park
Alexandria Park Community School,-33.9009406,151.1958573,school
Alexandria Technology Park,-33.9084034,151.1921172,park
Alfords Point Public School,-33.992547,151.023944,school
Alfred Cook Park,-33.793223,151.1564977,park
Alfred Henry Whaling Memorial Reserve,-33.7455426,150.9901577,park
Alfred Street North Park,-33.8412748,151.2117561,park
Algie Park,-33.877297,151.1373599,park
Alice Lee Reserve,-33.8761301,151.1867239,park
Alice Park,-33.9098424,151.0294627,park
Alice Robinson Reserve,-33.7035499,150.9933136,park
Alice Street Reserve,-34.0185698,151.0636564,park
Alice Watkins Reserve,-33.7965378,150.9816661,park
Alison Park,-33.9119033,151.2405215,park
Alison Playground,-33.9083114,151.1372743,park
All Hallows Catholic Primary School,-33.8610674,151.133322,school
All Saints Catholic College Liverpool,-33.9193215,150.9265737,school
All Saints Catholic Senior School,-33.9535101,150.9079181,school
All Saints Girls College,-33.9200327,150.9267323,school
All Saints Grammar Junior School,-33.9149738,151.0914101,school
All Saints Grammar School,-33.9292799,151.0953516,school
All Saints Primary School,-33.9187416,150.9260456,school
All Saits Boys College,-33.9187776,150.9269678,school
Allambie Avenue Reserve,-34.059447,151.1160839,park
Allambie Flat,-34.0743412,151.0542281,park
Allambie Heights Oval,-33.7657948,151.2482635,park
Allambie Heights Public Hall,-33.7659191,151.2535719,park
Allambie Heights Public School,-33.7661507,151.2491212,school
Allambie Reserve,-33.8729002,150.8771574,park
Allambie Reserve,-33.8726245,150.8744118,park
Allan Davies Reserve,-33.8134119,150.9847799,park
Allard Corner,-33.7763234,151.2041822,park
Allder Park,-33.8904606,151.0078508,park
Allen Park,-33.7734509,151.1397713,park
Allgera Reserve,-33.9259854,151.087894,park
Allington Reserve,-33.6969077,151.2808759,park
Allison Park,-33.8521344,151.1355281,park
Allison Reserve,-33.917506,151.0070304,park
Allison Road Park,-33.8577737,150.9791939,park
Allman Park,-33.8919371,151.1306617,park
Allum Park,-33.9061768,151.0618951,park
Allworth Reserve,-33.7420272,151.1922892,park
Alma Crescent Reserve,-33.7327286,150.6538696,park
Almond Street Reserve,-33.9341332,151.148197,park
Alpha Mart,-33.9497813,151.0301258,supermarket
Alpha Omega Senior College,-33.8507349,151.0314811,school
Alpha Omega Senior College,-33.8503723,151.0319902,school
Alquds Food & Deli,-34.0665639,150.8137627,supermarket
Alroy Park,-33.7470563,150.8377994,park
Alston Park,-33.7132138,150.4564486,park
Altrove Hilltop Park,-33.7081886,150.8700487,park
Alumni Park,-33.9163178,151.2294706,park
Alumni Park,-33.9162192,151.2285927,park
Alwyn Lindfield Reserve,-33.7361358,150.9292957,park
Am Mart,-33.7388251,151.2102034,supermarket
Am Mart,-33.7302552,151.1582415,supermarket
Amalfi Memorial Park,-33.9360406,150.9016866,park
Amaroo Reserve,-33.9080936,150.9830288,park
Amaroo Street Reserve,-33.7580049,150.7283541,park
Amazing Asian Market,-33.885233,151.2006398,supermarket
Ambarvale High School,-34.1001572,150.801569,school
Ambarvale Public School,-34.0864603,150.7981876,school
Amber Reserve,-33.8968851,150.9842832,park
Amberdale Reserve,-33.9721055,151.0034007,park
Ambleside Reserve,-33.7310532,151.2787546,park
Amelia Reserve,-33.699708,151.2880543,park
Amity College Prestons,-33.9417287,150.876041,school
Amour Park,-33.9517352,151.0076963,park
Amphitheatre Circuit Reserve,-33.7584976,150.9593955,park
Amundsen Reserve,-34.0481822,150.8493969,park
An Phat Supermarket,-33.8839049,150.9270634,supermarket
Anana Reserve,-33.7029047,151.2857587,park
Ancrum Street Reserve,-33.8399049,151.2012747,park
Anderson Memorial Reserve,-33.483531,151.3248713,park
Anderson Park,-33.9993472,151.1231561,park
Anderson Park,-33.9021901,150.9011329,park
Anderson Park,-33.8399306,151.2151645,park
Anderson Park,-33.8214826,151.0950888,park
Anderson Park,-33.8121806,151.0491393,park
Anderson Street Road Reserve,-33.8366082,151.2198892,park
Andrew Campbell Reserve,-33.8130349,150.9147713,park
Andrew Thompson Park,-33.8035381,150.7988442,park
Andromeda Drive Reserve,-33.7082337,150.719245,park
Angle Park,-33.9072451,150.9546673,park
Anglican Technical College Western Sydney,-33.7319083,150.9411599,school
Anglo Park,-33.7942683,151.1751882,park
Anglo Square,-33.9730599,151.1238044,park
Angophora Reserve,-33.7591572,151.2022477,park
Angus Memorial Park,-33.7734322,150.8415733,park
Angus Park,-33.9959099,150.749569,park
Angus Park,-33.8651809,151.0255379,park
Anita Cobby Park,-33.7814341,150.8895251,park
Ankali Place Reserve,-33.7702482,151.2702027,park
Ann Cashman Reserve,-33.8585793,151.1749154,park
Ann Thorn Park,-33.817507,151.0945634,park
Anna Maria King Park,-33.8071348,151.0305643,park
Annandale North Public School,-33.8779457,151.1718043,school
Annandale Public School,-33.8857797,151.1696127,school
Annangrove Public School,-33.6681104,150.9522111,school
Annes Reserve,-33.7372429,151.2744222,park
Annie Prior Reserve,-33.6994371,150.9906301,park
Annie Spence Close & Palomino Road Reserve,-33.7370484,150.6514443,park
Annie Twiss Reserve,-33.9499235,151.0875109,park
Anniversary Avenue Reserve,-33.4403971,151.4324989,park
Anthony Skarratt Reserve,-33.6643108,150.9072856,park
Anthony Street Reserve,-33.8821552,151.1195107,park
Anulla Place Park,-33.7175134,151.1077754,park
Anzac Park,-33.9116115,151.1020792,park
Anzac Park,-33.8267032,151.2120046,park
Anzac Park,-33.8067463,151.0924119,park
Anzac Park Public School,-33.8263212,151.2104197,school
Apex Community Park,-33.9989746,150.8805536,park
Apex Park,-33.8775031,150.8950263,park
Apex Park,-33.8567697,151.1603677,park
Apex Park,-33.7152576,151.0164112,park
Apex Park,-33.6781655,151.3131495,park
Apex Reserve,-33.906743,151.0395489,park
Apex Reserve,-33.8613608,151.042518,park
Aplin Road Reserve,-33.8887235,150.8745947,park
Appin Park,-34.198597,150.789517,park
Appin Public School,-34.1984157,150.7874901,school
Apple Gum Reserve,-33.7835811,150.6640078,park
Applegum Way,-33.7610216,151.1226934,park
Apsley Place Reserve,-34.0206322,151.118251,park
Aqua Flora Park,-33.9994734,151.1384054,park
Aquatic Reserve,-33.7567797,151.2364324,park
Aquinas Catholic College,-34.0197356,151.0210399,school
Araluen Place Reserve,-34.0226335,151.0679219,park
Aranda Reserve,-33.7462306,151.204807,park
Ararat Reserve,-33.7627334,151.2302583,park
Arbutus Park,-33.8869158,150.9292755,park
Arcadia Public School,-33.6232543,151.0519536,school
Arcadia Street Park,-33.8345465,150.9714752,park
Archdale Park,-33.7179157,151.1155844,park
Archibold Park,-33.4115278,151.4610357,park
Archway Park,-34.0214716,150.75318,park
Arden Anglican School,-33.7467535,151.0649337,school
Arden Anglican School Epping Secondary Campus,-33.7704667,151.0840756,school
Ardennes Park,-33.9627841,150.8706051,park
Argyle Bailey Memorial Reserve,-33.5404445,150.8890305,park
Argyle Place Park,-33.8583857,151.2046352,park
Aria Store,-33.8077021,151.0070293,supermarket
Arlington Recreation Reserve,-33.902352,151.136748,park
Armstein Crescent Reserve,-33.7557437,150.7466708,park
Armstrong Park,-33.9101428,150.9161317,park
Arncliffe Park,-33.9352344,151.1423825,park
Arncliffe Public School,-33.9405447,151.1475466,school
Arncliffe West Public School Preschool Centre,-33.9317035,151.1451204,school
Arndell Anglican College,-33.6209474,150.8500421,school
Arndell School,-33.8039095,151.1256101,school
Arnett Park,-33.8458188,150.974113,park
Arnhem Road Reserve,-33.7582661,151.2463427,park
Arnold Avenue Reserve,-33.7122612,150.9434397,park
Arrahman College,-33.9128918,150.8199567,school
Arranounbai School,-33.7568107,151.2418634,school
Arrowroot Park,-33.6958487,150.9095668,park
Arrowsmith Park,-33.966328,151.0955773,park
Art Barton Park,-33.8453864,151.2087636,park
Artarmon Park,-33.8129462,151.1901103,park
Artarmon Primary School,-33.8112014,151.1854006,school
Artarmon Reserve,-33.8103916,151.190452,park
Artarmon Village Green,-33.8081682,151.1840491,park
Arthur (Paddy) Gray Reserve,-33.8796819,151.1826317,park
Arthur Byrne Reserve,-33.9502782,151.2543159,park
Arthur Laundy Reserve,-33.8961345,150.9861341,park
Arthur McElhone Reserve,-33.8698529,151.2268729,park
Arthur Park,-33.9508479,151.1975872,park
Arthur Park,-33.927802,151.0416063,park
Arthur Phillip High School,-33.815714,151.0077182,school
Arthur Phillip Park,-33.7948131,150.9879795,park
Arthur Reserve,-33.8768132,151.2257788,park
Arthur Reserve,-33.7491357,151.284543,park
Arthur Whitling Park,-33.7312845,151.0084074,park
Artie Street Reserve,-33.8821473,150.95846,park
Arundel Park Drive Reserve,-33.7999451,150.7957172,park
Arundel Street Reserve,-33.8849472,151.18179,park
Arunta Reserve,-34.046519,150.8467084,park
Ascham,-33.8772867,151.2362759,school
Ascot Place Reserve,-34.0336619,151.106003,park
Ashbury Public School,-33.8988511,151.1194218,school
Ashcroft High School,-33.9204026,150.897265,school
Ashcroft Public School,-33.9163914,150.898372,school
Ashcroft Reserve,-33.9110332,150.978453,park
Ashcroft's IGA,-33.8042565,150.8038171,supermarket
Ashfield Boys High School,-33.8895354,151.1293515,school
Ashfield Korea Mart,-33.8873698,151.126233,supermarket
Ashfield Park,-33.8858019,151.1344284,park
Ashfield Public School,-33.8895026,151.1281548,school
Ashfield Reserve,-34.095605,150.7789042,park
Ashfordby Park,-33.9170419,150.9555873,park
Ashlar Park,-33.7609145,150.900913,park
Ashley Avenue North Reserve,-33.7537399,151.045761,park
Ashley Avenue Reserve,-33.7551963,151.0429749,park
Ashley Brown Reserve,-33.764282,150.9400328,park
Ashmead Reserve,-34.0242912,150.8621733,park
Ashworth Reserve,-33.7392557,151.2074467,park
Asian City,-33.7953506,151.185705,supermarket
Asian Food,-33.9241353,151.2276853,supermarket
Asian Food Market,-33.7686145,150.9102438,supermarket
Asian Point Grocery,-33.822744,151.193998,supermarket
Aspect Hills Shire School,-33.6291976,150.9060903,school
Aspect Vern Barnett School,-33.7636645,151.220133,school
Aspect Western Sydney School,-33.8478671,150.9135773,school
Asquith High School,-33.6896647,151.1111762,school
Asquith Park,-33.6822231,151.1094873,park
Asquith Public School,-33.6857325,151.1121682,school
Asquith Spices,-33.6884379,151.1076465,supermarket
Astley Park,-33.7669578,150.7765599,park
Astrolabe Park,-33.9288325,151.2220158,park
Athelstane Public School,-33.9374505,151.1383463,school
Atherton Park,-33.8644895,150.926699,park
