name,lat,lon,mode
Norwest Station,-33.73461748,150.96352165,metro
Oak Flats Station,-34.57194651,150.82034881,train
Oatley Station,-33.9803847,151.07901413,train
Olympic Park Station,-33.84659492,151.06932974,train
Otford Station,-34.21070562,151.00582748,train
Ourimbah Station,-33.35974907,151.36999584,train
Paddy's Markets Light Rail,-33.87928172,151.20261045,light_rail
Padstow Station,-33.95191691,151.03217663,train
Panania Station,-33.95427746,150.99826036,train
Parramatta Square Light Rail,-33.81555003,151.00513726,light_rail
Parramatta Station,-33.81749025,151.005325,train
Paterson Station,-32.60241443,151.61464838,train
Pendle Hill Station,-33.80120445,150.9560804,train
Pennant Hills Station,-33.73791201,151.07255151,train
Penrith Station,-33.75014862,150.69651584,train
Penrose Station,-34.67229417,150.21207796,train
Penshurst Station,-33.96620899,151.0888473,train
Petersham Station,-33.89386331,151.15557204,train
Picton Station,-34.17919202,150.61260429,train
Point Clare Station,-33.44625901,151.32841514,train
Port Kembla North Station,-34.47272186,150.88757093,train
Port Kembla Station,-34.47716242,150.90286886,train
Prince Alfred Square Light Rail,-33.80906745,151.00525566,light_rail
Pymble Station,-33.74477962,151.14226141,train
Pyrmont Bay Light Rail,-33.8693385,151.1974886,light_rail
QVB,-33.87169231,151.20665553,light_rail
Quakers Hill Station,-33.72746287,150.88623397,train
Queens Wharf Light Rail,-32.92638967,151.78174425,light_rail
Randwick Light Rail,-33.91711225,151.24044655,light_rail
Redfern Station,-33.89204769,151.19841906,train
Regents Park Station,-33.8831901,151.02401965,train
Revesby Station,-33.95251787,151.01519695,train
Rhodes Station,-33.83049189,151.08704933,train
Richmond Station,-33.59884642,150.75264112,train
Riverstone Station,-33.67926177,150.86037985,train
Riverwood Station,-33.95139401,151.05245738,train
Robin Thomas Light Rail,-33.81692044,151.01120346,light_rail
Rockdale Station,-33.95224818,151.13661619,train
Rooty Hill Station,-33.77162507,150.84464747,train
Rosehill Gardens Light Rail,-33.81811804,151.02448392,light_rail
Roseville Station,-33.78443617,151.17766673,train
Rouse Hill Station,-33.69181177,150.92416751,metro
Royal Randwick Light Rail,-33.90515433,151.22873454,light_rail
Rozelle Bay Light Rail,-33.87186612,151.17271525,light_rail
Rydal Station,-33.48386625,150.03184368,train
Sandgate Station,-32.87236185,151.70281244,train
Scarborough Station,-34.26552566,150.96541923,train
Schofields Station,-33.70438029,150.87377461,train
Scone Station,-32.04684144,150.86698948,train
Sefton Station,-33.88527733,151.01170402,train
Seven Hills Station,-33.7743511,150.93612251,train
Shellharbour Junction Station,-34.59134673,150.84470802,train
Singleton Station,-32.57194064,151.16561028,train
Springwood Station,-33.69905654,150.56366276,train
St James Station,-33.87062216,151.21186309,train
St Leonards Station,-33.8222319,151.19413439,train
St Marys Station,-33.76210254,150.77518003,train
St Peters Station,-33.90727298,151.18074263,train
Stanmore Station,-33.89447424,151.16414803,train
Stanwell Park Station,-34.22627936,150.98112787,train
Strathfield Station,-33.87167201,151.09428565,train
Summer Hill Station,-33.89044065,151.1387028,train
Surry Hills Light Rail,-33.88813399,151.21195808,light_rail
Sutherland Station,-34.03175379,151.05722202,train
Sydenham Station,-33.91445896,151.16652644,metro
Sydenham Station,-33.91445896,151.16652644,train
Tahmoor Station,-34.22349207,150.59002115,train
Tallawong Station,-33.69163119,150.90600569,metro
Tallong Station,-34.71832308,150.08632116,train
Tarana Station,-33.52424309,149.907495,train
Tarro Station,-32.80898493,151.6695752,train
Tascott Station,-33.45091719,151.31860852,train
Taverners Hill Light Rail,-33.88903058,151.14525733,light_rail
Telarah Station,-32.72338989,151.53981195,train
Telopea Light Rail,-33.79440601,151.04114725,light_rail
Tempe Station,-33.92390407,151.15660038,train
Teralba Station,-32.96253817,151.60347199,train
The Star Light Rail,-33.86751672,151.19516351,light_rail
Thirroul Station,-34.31801562,150.91891203,train
Thornleigh Station,-33.73189695,151.07815508,train
Thornton Station,-32.78352147,151.63974686,train
Toongabbie Station,-33.78738636,150.95144002,train
Town Hall Station,-33.87353896,151.20692991,light_rail
